full_site_address,Latitude,Longitude,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"Atlantic Express , 7700 Atlantic Ave , Cudahy , CA , 90201",33.9654069,-118.1865354,145,0.01786896744388682,0.13975008660278299,0.17531477811191623,0.31513630229014045,0.3394810440848794,0.3899413509171476,0.4287834957275082,0.46110428539037207,0.46330206068296065,0.47049733563538143
"Auto Paradise Car Wash , 1402 E Vine St , Kissimmee , FL , 34744",28.30373,-81.388079,40,0.19940942944373263,0.5314107365697605,0.7156592834358804,0.7565554126734436,0.8242044012367271,0.8479087385322177,0.9089383231946493,0.9506688328452583,0.960582007913231,0.9652790336610363
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,48,0.2699953218840973,0.32454268710014283,0.8496597924346769,0.9235964043450762,0.9471226748000835,1.0085718994430461,1.344364241514786,1.357555914504069,1.362407210504724,1.3816373676207918
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",36.3328772,-78.4411117,29,0.22576047904456578,0.258735555316897,0.26333884876410957,0.28523503368056086,0.3002349557508978,0.34371369619727143,0.36465407748516193,0.3758015723596536,0.4299650388027151,0.5130577960846859
"Autobahn Auto Care Center , 3928 W Clearwater Ave , Kennewick , WA , 99336",46.21267,-119.1737336,36,0.20918063750761612,0.2928558763210302,0.2942026140058843,0.4679354695741484,0.49526257537779367,0.5488767447974098,0.5891800970926727,0.5971233972505147,0.698854438562056,0.7071813591763211
"Autobahn Express , 1225 Guyer Ave , Richland , WA , 99352",46.2830987,-119.2748079,43,0.1819838495072363,0.18521615235986721,0.19225239706056255,0.2344139950781696,0.3031116161691518,0.43893579110540243,0.44697724903934716,0.44793363057988317,0.4498629215162538,0.4677123025561186
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",38.7887778,-94.9270292,11,0.14691665597591352,0.4008688263091788,0.5333580340062567,0.5879472203913123,1.110624734756095,1.4184276983378417,1.5371783398741568,1.5393061204002416,1.5719232316289569,1.8524299917183769
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",32.549643,-84.9331716,33,0.037128287708119684,0.2184655026073163,0.3818135836191912,0.3935733551751995,0.42232780040965606,0.4698930883585531,0.4848107593546552,0.5547324498336098,0.5596327097076098,0.6808538739737913
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",28.257958,-81.485298,8,0.05680368466143811,0.14466322722281366,0.9134409704515868,1.0171807800515191,1.387185567215992,1.5869328533031386,1.6768870670679834,1.9641780635399508,,
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",36.8263159,-108.0119144,2,0.4257977564264058,0.4932630572627795,,,,,,,,
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",31.8038311,-94.1867481,4,0.3844347700282336,0.5912767655117119,0.6602373932345801,0.9974567159844306,,,,,,
"BBCW , 6603 Jog Rd , Boca Raton , FL , 33496",26.4084521,-80.1469143,29,0.04523523051590876,0.30130367538020725,0.5954959976712386,0.6753036299307384,0.7774451609013372,0.8715175065920824,0.9188657751037109,0.984426308422804,1.004206173511496,1.1276532267302617
"BDPu0027s Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",32.6101385,-114.6549997,5,0.15354970636455365,0.24724187327324293,1.1171944676148102,1.69282220280609,1.9225226489649034,,,,,
"BELMONT CAR WASH , 5594 E Belmont Ave , Fresno , CA , 93727",36.7500846,-119.7007336,40,0.03164090687657495,0.1383721998820979,0.2428322195901424,0.47774263192363076,0.5110580953641526,0.967565136270781,0.9780477527125319,0.9831479346425495,1.0036366090263789,1.0060142119841962
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",42.55114,-71.7638088,31,0.17728938530289196,0.28981418706743933,0.39679713031107655,0.45921288518495945,0.5287359021694897,0.6257657535086569,0.6831946513827426,0.8189373687004717,0.8279983859497503,0.8459757643949252
"BUCKEYE CAR WASH , 4521 KENNY RD , COLUMBUS , OH , 43220",40.0523949,-83.0503492,49,0.049458178074476736,0.3893937519158956,0.41722486702502337,0.6235285529570148,0.6560440657863611,0.7667106802677723,0.8275199738379646,0.8535245331441217,0.8619743023480373,0.8708097194353754
"Balboa , 7959 Balboa Ave , San Diego , CA , 92111",32.8214387,-117.1518383,99,0.15869787329433424,0.179662151104202,0.1906211650688429,0.1923459414038978,0.2032271398886317,0.2362352604385552,0.2883657060757201,0.33833290455111914,0.3861086663150747,0.39489160314510124
